id;title;description;publication_date;price
1;Table Fish;Dynamic programming;2022-02-22;32786
2;Bahrain Principal;radical Configuration Director;2022-02-22;45797
3;Pass;Borders Sudan Mall;2022-02-22;96215
4;interfaces auxiliary Pula;Paradigm Optimization calculating;2022-02-22;14541
5;Alaska Soft FTP;Georgia Generic;2022-02-22;16847
6;bus;cross-platform;2022-02-21;78128
7;Berkshire Jordanian application;turn-key Soft;2022-02-21;83632
8;Club architectures;generate Ports syndicate;2022-02-22;11906
9;e-business indigo Account;Sweden Personal programming;2022-02-22;341
10;Developer;Future-proofed;2022-02-22;93660
